代號,名稱,年/月,  現金及約當現金,  不動產廠房及設備,資產總額,負債總額,  研究發展費,來自營運之現金流量,  購置不動產廠房設備（含預付）－CFI
1527,鑽全,2026/06,"449,713","928,663","5,746,205","922,664","86,719","165,544","-49,650"
1528,恩德,2026/06,"555,057","1,175,750","5,506,038","3,335,675","38,371","-49,027","-62,568"
1529,樂事綠能,2026/06,"309,232","1,813,560","3,231,091","1,342,964","2,722","67,271","-24,007"
1530,亞崴,2026/06,"998,470","1,882,155","5,783,162","2,457,337","21,528","-15,346","-25,806"
1531,高林股,2026/06,"729,256","209,496","4,656,765","1,178,972","32,581","216,847","-62,309"
1532,勤美,2026/06,"5,585,644","13,727,513","55,040,108","35,692,677","17,556","187,781","-250,025"
1533,車王電,2026/06,"627,009","2,167,019","10,253,297","7,192,060","116,466","-526,764","-25,937"
1535,中宇,2026/06,"1,508,522","920,485","7,507,591","3,774,783","7,963","92,831","-44,365"
1536,和大,2026/06,"729,652","13,101,049","21,128,404","13,555,319","44,289","315,609","-122,006"
1537,廣隆,2026/06,"2,295,194","678,576","6,242,084","2,013,606","22,726","278,007","-89,253"
1538,正峰,2026/06,"14,655","76,834","245,756","127,608","3,221","-34,083","-1,958"
1539,巨庭,2026/06,"589,691","1,111,975","2,246,430","636,028","10,522","78,701","-14,358"
1540,喬福,2026/06,"38,567","284,482","1,638,851","224,440","6,394","77,906",-110
1541,錩泰,2026/06,"533,292","546,023","3,134,180","968,506","16,516","457,904",-225
1557,金豐機器,2026/06,"3,038,889","4,159,697","15,266,001","8,600,531","124,343","-48,674","-482,873"
1558,伸興,2026/06,"2,073,817","3,573,458","14,184,392","5,494,084","180,442","314,289","-110,797"
1560,中砂,2026/06,"2,323,684","5,788,164","14,894,528","5,457,971","104,503","1,256,630","-850,949"
1563,巧新,2026/06,"3,497,671","8,549,250","19,750,027","11,424,264","82,155","746,515","-1,611,373"
1565,精華,2026/06,"2,308,512","3,225,131","7,727,270","1,316,772","41,234","131,638","-21,602"
1568,倉佑,2026/06,"468,869","1,316,173","2,576,895","434,485","21,188","104,049","-134,178"
1569,濱川,2026/06,"835,332","2,569,483","6,993,017","3,846,883","115,567","-390,278","-234,181"
1570,力肯,2026/06,"444,941","169,073","1,194,871","157,762","8,154","53,892","-1,958"
1580,新麥,2026/06,"1,016,830","1,479,282","4,762,871","1,475,365","78,825","122,893","-116,745"
1582,信錦,2026/06,"4,068,583","2,431,673","13,316,100","5,729,230","76,035","-375,906","-329,247"
1583,程泰,2026/06,"1,921,196","3,682,823","14,168,159","6,926,079","66,815","49,694","-112,103"
1584,精剛,2026/06,"485,399","3,763,601","7,679,214","2,949,386","12,190","283,999","-564,330"
1585,鎧鉅,2026/06,"7,873","499,166","744,070","867,317","1,569","-1,790","-1,918"
1586,和勤,2026/06,"436,739","1,582,923","3,706,309","1,697,722","46,013","70,104","-10,343"
1587,吉茂,2026/06,"571,256","1,229,255","3,618,071","2,000,524","22,618","185,251","-29,312"
1590,亞德客-KY,2026/06,"8,695,538","29,751,078","66,030,556","11,207,748","665,077","5,954,216","-1,649,365"
1593,祺驊,2026/06,"484,862","236,987","1,885,555","416,746","6,597","47,653","-5,572"
1594,日高,2026/06,"301,899","151,120","625,150","263,411","6,973","14,933","-1,004"
1595,川寶,2026/06,"940,818","1,020,721","3,997,373","1,304,069","42,490","20,927","-79,092"
1597,直得,2026/06,"951,524","1,959,001","4,289,116","1,819,149","47,449","200,673","-23,756"
1598,岱宇,2026/06,"834,887","3,310,491","9,660,434","5,201,931","73,357","438,588","-64,679"
1599,宏佳騰,2026/06,"466,473","1,041,657","2,660,226","779,068","74,330","97,845","-20,122"
1602,太電,2026/06,"5,154,105","9,168,735","46,097,483","22,436,884","121,996","-171,751","-509,978"
1603,華電,2026/06,"318,051","3,360,374","12,571,204","4,391,225",0,"255,765","-130,148"
1604,聲寶,2026/06,"1,108,821","9,103,829","20,535,127","11,041,158","51,125","128,832","-768,284"
1605,華新,2026/06,"17,651,221","91,459,257","350,393,718","135,926,898","232,073","-2,034,710","-3,400,089"
1608,華榮,2026/06,"526,493","3,390,351","20,012,145","7,484,018",,"-315,661","-186,417"
1609,大亞,2026/06,"8,193,131","20,667,718","67,156,692","45,870,254","45,814","1,222,191","-663,114"
1611,中電,2026/06,"436,962","627,027","5,067,039","1,025,723",0,"65,711","-1,717"
1612,宏泰,2026/06,"1,286,289","1,363,632","11,392,687","2,027,876",0,"-244,313","-36,036"
1613,台一,2026/06,"806,011","1,407,221","6,994,772","4,385,056","5,067","-129,012","-147,023"
1614,三洋電,2026/06,"81,154","2,279,576","7,463,501","1,762,141","34,030","-15,703","-227,652"
1615,大山,2026/06,"95,288","1,474,768","6,615,957","1,919,360","6,256","529,012","-71,752"
1616,億泰,2026/06,"578,206","885,225","4,477,549","2,420,178","3,263","-101,552","-51,705"
1617,榮星,2026/06,"499,027","990,043","3,370,205","1,038,295","8,609","-161,466","-23,159"
1618,合機,2026/06,"575,388","1,489,115","9,029,357","2,239,188","6,004","607,145","-45,344"
1623,大東電,2026/06,"607,760","1,023,054","7,934,138","3,831,832","9,676","-211,391","-21,312"
1626,艾美特-KY,2026/06,"835,960","2,420,719","9,972,805","7,265,196","82,130","-116,757","-108,049"
1702,南僑,2026/06,"4,488,977","15,318,543","33,578,078","17,955,075","299,533","553,086","-1,070,939"
1707,葡萄王,2026/06,"3,539,231","7,736,587","15,002,187","3,398,386","124,174","658,769","-249,928"
1708,東鹼,2026/06,"1,616,568","8,644,483","12,575,368","4,956,977",0,"536,828","-168,461"
1709,和益,2026/06,"455,693","3,142,040","12,341,233","3,089,311","37,823","452,380","-55,408"
1710,東聯,2026/06,"1,368,314","15,454,295","35,442,958","22,204,483","126,743","-1,338,893","-555,660"
1711,永光,2026/06,"1,328,467","4,967,893","14,025,892","4,854,654","185,749","377,058","-378,075"
1712,興農,2026/06,"1,767,598","5,867,986","15,870,526","7,591,962","105,512","45,825","-183,198"
1713,國化,2026/06,"127,235","309,595","4,290,247","611,734",0,"-32,610","-1,579"
1714,和桐,2026/06,"6,750,582","4,694,247","27,205,900","8,053,506","43,528","1,051,380","-161,339"
1716,永信藥品,2026/06,"791,428","2,497,230","6,943,178","3,004,599","163,638","395,485","-216,114"
1717,長興,2026/06,"9,886,139","22,084,724","67,006,416","34,691,769","980,288","2,369,005","-1,170,814"
1718,中纖,2026/06,"18,134,399","30,288,995","1,047,215,051","950,014,177",,"-12,971,179","-496,961"
1720,生達,2026/06,"2,014,373","4,349,577","12,315,901","2,992,269","136,308","611,467","-260,539"
1721,三晃,2026/06,"308,188","1,250,284","2,812,463","1,203,426","20,102","-102,121","-41,867"
1722,台肥,2026/06,"2,706,643","12,137,277","83,163,033","30,210,343","14,682","297,095","-154,848"
1723,中碳,2026/06,"809,634","4,680,446","11,796,688","3,782,180","139,416","524,288","-351,896"
1725,元禎,2026/06,"822,583","861,681","11,023,811","2,425,243",0,"156,736","-10,812"
1726,永記,2026/06,"2,351,451","3,138,587","12,929,458","2,345,848","141,346","395,558","-54,657"
1727,中華化,2026/06,"170,335","2,393,137","3,802,242","1,642,711","9,075","37,786","-261,289"
1730,花仙子,2026/06,"942,332","1,147,017","3,299,381","1,131,590","22,315","134,743","-575,851"
1731,美吾華,2026/06,"210,491","1,216,556","3,481,551","1,288,566",0,"77,286","-5,308"
1732,毛寶,2026/06,"209,872","194,691","706,542","201,799","1,618","21,862","-1,214"
1733,五鼎,2026/06,"737,658","537,960","2,550,654","690,927","87,077","189,381","-12,628"
1734,杏輝,2026/06,"1,476,846","3,210,786","6,844,162","3,123,119","74,173","194,445","-148,067"
1735,日勝化,2026/06,"438,020","1,230,775","3,100,370","1,558,832","30,267","28,573","-12,331"
1736,喬山,2026/06,"3,373,815","6,148,210","47,072,497","33,350,541","656,732","3,238,387","-592,068"
1737,臺鹽,2026/06,"1,569,373","4,055,840","8,378,629","1,669,438","24,920","281,404","-82,420"
1742,台蠟,2026/06,"285,968","525,495","1,446,912","174,601",0,"-11,207",-358
1752,南光,2026/06,"363,555","2,124,901","3,941,061","1,529,210","82,753","120,790","-122,575"
1760,寶齡富錦,2026/06,"471,422","1,654,838","3,223,091","1,348,727","78,010","140,483","-82,829"
1762,中化生,2026/06,"329,956","1,981,338","4,359,295","1,156,203","84,394","199,509","-16,862"
1773,勝一,2026/06,"374,172","11,583,011","18,670,756","7,082,545","175,818","1,172,483","-1,025,166"
1776,展宇,2026/06,"382,160","268,326","1,459,727","510,745","11,021","2,976","-9,651"
1777,生泰,2026/06,"1,113,053","1,294,137","3,164,752","587,805","21,208","82,860","-27,656"
1780,立弘,2026/06,"1,162,597","558,836","2,557,239","1,041,385","13,877","116,847","-19,908"
1781,合世,2026/06,"222,113","113,300","655,773","352,541","10,151","-23,258","-4,235"
1783,和康生,2026/06,"745,765","450,458","2,032,933","534,022","84,318","155,439","-27,487"
1784,訊聯,2026/06,"197,071","639,069","3,080,342","879,324","69,988","55,019","-18,368"
1785,光洋科,2026/06,"4,537,051","7,313,484","39,799,306","22,875,760","249,495","153,167","-410,868"
1786,科妍,2026/06,"677,803","1,094,151","2,508,045","721,032","43,695","116,393","-14,153"
1788,杏昌,2026/06,"436,848","1,329,595","5,294,452","2,342,108",0,"79,265","-43,693"
1789,神隆,2026/06,"3,498,583","3,383,829","12,360,013","1,898,599","171,994","436,678","-100,955"
1795,美時,2026/06,"6,325,432","6,884,193","108,585,630","84,280,268","525,607","676,410","-256,403"
1796,金穎生技,2026/06,"281,970","574,780","1,266,217","482,307","16,216","41,699","-20,494"
1799,易威,2026/06,"360,948","211,969","1,291,921","568,453","133,251","107,634","-4,372"
1802,台玻,2026/06,"6,113,993","44,482,083","93,700,647","39,138,830","393,877","1,206,679","-4,533,769"
1805,寶徠,2026/06,"411,104",885,"2,003,712","369,275",0,"-14,582",0
1806,冠軍,2026/06,"1,357,737","3,048,670","7,952,700","2,690,236","12,745","-82,125","-64,958"
1808,潤隆,2026/06,"9,640,184","227,684","52,198,821","38,393,687",0,"8,642,271","-1,070"
1809,中釉,2026/06,"582,248","1,933,394","4,551,241","1,247,356","35,806","-13,369","-45,125"
1810,和成,2026/06,"656,325","3,136,456","10,763,418","2,169,698","51,122","-76,198","-47,917"
1813,寶利徠,2026/06,"107,350","227,599","968,250","304,440",622,"-2,891","-2,636"
1815,富喬,2026/06,"1,802,286","11,777,078","21,463,574","7,764,340","167,065","989,377","-1,965,980"
1817,凱撒衛,2026/06,"375,060","776,091","3,155,398","793,090","19,975","171,374","-18,711"
1819,豐鼎,2026/06,"6,042","650,216","864,944","616,415","1,474","29,983","-12,777"
1903,士紙,2026/06,"179,873","2,557,066","10,595,433","5,087,588","1,453","-2,905","-158,543"
1904,正隆,2026/06,"8,653,102","42,363,165","76,590,661","45,131,674","52,336","2,840,835","-2,171,788"
1905,華紙,2026/06,"1,630,178","15,831,963","42,120,634","22,477,599","62,524","11,838","-971,147"
1906,寶隆,2026/06,"144,075","27,060","5,485,584","2,748,391",0,"53,120",0
