firm_id,firm_name,date,rd_exp,capx,oancf,assets,ppe,cash,debt,industry,TEJ子產業代碼,mkt_cap,year,firm_findep,findep_s,log_rd,size,cash_ratio,tangibility,leverage,tobin_q,monetary_tightening,inter_tight_findep
4104,佳醫,2026/06,1011.0,64857.0,545610,21155881,920960,3335734,7951661,17G,17G2,12940813.0,2026,-7.41250751653638,0.3552450874748451,6.919683849847411,16.86742848627036,0.15767407653692134,0.043532103437337356,0.37586054676711406,0.9875492304007571,,
4105,東洋,2026/06,96593.0,61954.0,863703,11825563,2129687,2924257,4076937,17C,17C1B,18822805.0,2026,-12.941036898343933,0.008617877337973031,11.478271906470349,16.28577410220256,0.24728268751348245,0.18009180619984014,0.3447562708008067,1.936461037838114,,
4106,雃博,2026/06,72140.0,10596.0,153767,3314657,696346,903103,782776,17G,17G2,2386569.0,2026,-13.511796904492261,0.3552450874748451,11.18637781629658,15.013864707168866,0.27245745185700965,0.21008086206204746,0.23615595821830132,0.9561607731961407,,
4107,邦特,2026/06,42190.0,73144.0,379399,4881033,1918952,1032808,1352883,17G,17G2,7969270.0,2026,-4.187014656021,0.3552450874748451,10.649962207136612,15.40086743575608,0.21159619285507802,0.39314464786449915,0.27717145120715225,1.9098729715615526,,
4108,懷特,2026/06,57869.0,572.0,-20395,2411578,160216,84248,58220,17C,17C1E,2403290.0,2026,36.65559440559441,0.008617877337973031,10.965954394567884,14.695791862981553,0.03493480202589342,0.0664361675218467,0.06423362732568252,1.0207051150740303,,
4109,加捷生醫,2026/06,3302.0,8853.0,1434,1879222,487596,240827,223602,17C,17C2,1341728.0,2026,0.8380210098271772,0.008617877337973031,8.10258642539079,14.44636841936772,0.12815250140749737,0.2594669496206409,0.11898647418985091,0.8329670470013655,,
4111,濟生,2026/06,9262.0,57793.0,91120,2035952,815998,472286,634639,17C,17C1B,1791968.0,2026,-0.5766615334036994,0.008617877337973031,9.133783249254028,14.526474080736135,0.23197305240988,0.4007943212806589,0.3117160915385039,1.1918782957554992,,
4113,聯上,2026/06,0.0,6405.0,-403730,16599237,2906,312504,12418823,25A,25A,3513298.0,2026,64.0335675253708,10.140183271179907,0.0,16.62486728841498,0.018826407502947274,0.0008501028267625401,0.7481562556158454,0.9598104418895881,,
4114,健喬,2026/06,154637.0,88332.0,191309,15275114,5847185,1729898,5408578,17C,17C1B,15994018.0,2026,-1.1657949553955531,0.008617877337973031,11.948842180534221,16.541735526169205,0.11324943303205462,0.3827915785112962,0.35407775025443344,1.4011414906625246,,
4116,明基醫,2026/06,15995.0,19421.0,178466,5518169,505645,821161,3244956,17G,17G2,1715791.0,2026,-8.189331136398744,0.3552450874748451,9.680093969966709,15.523556660329152,0.14881041156948982,0.09163274992121481,0.5880494055183885,0.8989842464049216,,
